SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
23,1,44,43,25,37,41,42,21.42857,23.5
10,1,28,25,39,29,30,18,28.57143,13
73,1,29,32,51,20,41,35,0,18.5
2,-1,-2,-8,-10,-3,-14,-4,-8.92857,-8.5
4,1,11,11,12,49,10,10,14.28571,11.5
-21,-1,-1,-5,-2,8,-6,4,19.04762,2
-44,-1,16,21,18,2,17,27,1.78571,17
-4,-1,-3,6,-1,10,-2,-1,14.28571,-14
11,-1,31,38,29,32,28,29,25,20
10,1,27,21,35,41,31,19,50,13.5
37,-1,17,16,14,8,19,23,9.72222,11.5
13,-1,29,24,20,27,29,38,15.27778,4.5
59,1,67,74,70,72,71,75,63.88889,34.5
1,-1,3,3,10,14,6,9,13.88889,-2.5
21,1,85,77,65,78,77,63,35.71429,24
21,1,18,25,32,19,22,28,11.11111,17
5,1,34,37,23,45,40,14,44.64286,10
17,1,33,26,18,25,25,21,26.38889,7
14,-1,54,62,42,61,53,55,26.98413,7
12,-1,31,37,36,46,42,40,38.88889,2.5
16,1,21,33,39,2,36,54,-15.27778,17
21,1,55,56,49,71,57,32,37.5,15.5
11,1,49,57,31,60,54,49,40.27778,14.5
25,-1,80,75,72,79,67,58,49.20635,16.5
-7,1,9,11,15,-7,16,36,-3.57143,7
-6,1,27,32,29,24,32,36,12.5,18.5
35,-1,60,68,57,54,65,68,50,23.5
-25,-1,46,43,46,64,44,37,50,3.5
19,-1,58,50,59,59,58,54,37.5,6
7,-1,81,78,87,91,84,89,75,23.5
26,1,-12,-8,-17,-21,-1,-3,-8.92857,6
24,1,96,91,86,98,92,75,88.88889,30.5
41,-1,45,57,38,43,55,52,44.44444,13
7,1,44,28,61,43,34,12,6.94444,6
7,1,32,40,5,20,36,40,8.92857,11
-1,1,35,41,30,35,39,49,5.55556,13
6,-1,11,13,12,2,16,10,9.72222,3
-7,1,8,1,-18,6,-4,14,19.44444,4
-1,-1,56,49,40,55,55,63,41.66667,14
43,-1,20,20,-6,19,14,21,0,1.5
14,1,66,70,23,71,63,52,52.77778,17.5
17,-1,51,44,39,64,46,39,50,5.5
6,1,25,25,48,28,27,28,35.71429,11.5
-9,1,24,23,16,47,27,16,42.85714,7
42,-1,40,39,56,21,39,61,12.5,21.5
7,1,10,17,-3,-4,8,25,-18.05556,8.5
23,-1,64,63,64,71,62,55,37.5,14
2,-1,19,26,18,-3,34,40,0,7.5
-21,-1,9,-6,-2,14,-1,-20,0,-6
